product_id,product_name,category,age_group,nova,nutrition_score,ingredient_score,processing_score,additive_score,final_score,grade,cliff_penalty,dominant_nutrient,missing_data,flags
21,"Britannia NutriChoice 5 Grain","Biscuits",adult,4,32,35,100,42,29,D+,0,addedSugar,false,""
21,"Britannia NutriChoice 5 Grain","Biscuits",elderly,4,34,35,100,42,29,D+,0,addedSugar,false,""
22,"Britannia NutriChoice Digestive","Biscuits",child,4,34,35,100,29,27,D+,0,addedSugar,false,""
22,"Britannia NutriChoice Digestive","Biscuits",teen,4,50,35,100,29,33,C-,0,addedSugar,false,""
22,"Britannia NutriChoice Digestive","Biscuits",adult,4,43,35,100,29,30,C-,0,addedSugar,false,""
22,"Britannia NutriChoice Digestive","Biscuits",elderly,4,44,35,100,29,31,C-,0,addedSugar,false,""
23,"Britannia NutriChoice Milk Biscuits","Biscuits",child,4,24,35,100,25,23,D+,0,addedSugar,false,""
23,"Britannia NutriChoice Milk Biscuits","Biscuits",teen,4,43,35,100,25,30,C-,0,addedSugar,false,""
23,"Britannia NutriChoice Milk Biscuits","Biscuits",adult,4,33,35,100,25,26,D+,0,addedSugar,false,""
23,"Britannia NutriChoice Milk Biscuits","Biscuits",elderly,4,34,35,100,25,27,D+,0,addedSugar,false,""
24,"Britannia NutriChoice Orange Biscuits","Biscuits",child,4,27,35,100,10,22,D+,0,addedSugar,false,""
24,"Britannia NutriChoice Orange Biscuits","Biscuits",teen,4,46,35,100,10,29,D+,0,addedSugar,false,""
24,"Britannia NutriChoice Orange Biscuits","Biscuits",adult,4,36,35,100,10,25,D+,0,addedSugar,false,""
24,"Britannia NutriChoice Orange Biscuits","Biscuits",elderly,4,37,35,100,10,26,D+,0,addedSugar,false,""
25,"Britannia Tiger","Biscuits",child,4,12,20,90,0,3,E,10,addedSugar,false,""
25,"Britannia Tiger","Biscuits",teen,4,27,20,90,0,18,D,0,addedSugar,false,""
25,"Britannia Tiger","Biscuits",adult,4,18,20,90,0,15,D,0,addedSugar,false,""
25,"Britannia Tiger","Biscuits",elderly,4,19,20,90,0,15,D,0,addedSugar,false,""
26,"Britannia Treat Jim Jam","Cream Biscuits",child,4,9,20,90,14,4,E,10,addedSugar,false,""
26,"Britannia Treat Jim Jam","Cream Biscuits",teen,4,22,20,90,14,19,D,0,addedSugar,false,""
26,"Britannia Treat Jim Jam","Cream Biscuits",adult,4,14,20,90,14,16,D,0,addedSugar,false,""
26,"Britannia Treat Jim Jam","Cream Biscuits",elderly,4,15,20,90,14,16,D,0,addedSugar,false,""
27,"Britannia Treat Orange Creme","Cream Biscuits",child,4,8,20,100,8,4,E,10,addedSugar,false,""
27,"Britannia Treat Orange Creme","Cream Biscuits",teen,4,23,20,100,8,19,D,0,addedSugar,false,""
27,"Britannia Treat Orange Creme","Cream Biscuits",adult,4,14,20,100,8,16,D,0,addedSugar,false,""
27,"Britannia Treat Orange Creme","Cream Biscuits",elderly,4,15,20,100,8,16,D,0,addedSugar,false,""
28,"Cadbury Bournville Cranberry","Chocolates",child,4,3,30,90,62,10,D,10,addedSugar,false,""
28,"Cadbury Bournville Cranberry","Chocolates",teen,4,13,30,90,62,23,D+,0,addedSugar,false,""
28,"Cadbury Bournville Cranberry","Chocolates",adult,4,7,30,90,62,21,D+,0,addedSugar,false,""
28,"Cadbury Bournville Cranberry","Chocolates",elderly,4,7,30,90,62,22,D+,0,addedSugar,false,""
29,"Cadbury Dairy Milk","Chocolates",child,4,2,32,90,62,10,D,10,addedSugar,false,""
29,"Cadbury Dairy Milk","Chocolates",teen,4,9,32,90,62,23,D+,0,addedSugar,false,""
29,"Cadbury Dairy Milk","Chocolates",adult,4,5,32,90,62,21,D+,0,addedSugar,false,""
29,"Cadbury Dairy Milk","Chocolates",elderly,4,5,32,90,62,21,D+,0,addedSugar,false,""
30,"Cadbury Perk","Chocolates",child,4,3,29,90,29,5,E,10,addedSugar,false,""
30,"Cadbury Perk","Chocolates",teen,4,13,29,90,29,18,D,0,addedSugar,false,""
30,"Cadbury Perk","Chocolates",adult,4,6,29,90,29,16,D,0,addedSugar,false,""
30,"Cadbury Perk","Chocolates",elderly,4,7,29,90,29,16,D,0,addedSugar,false,""
31,"Cavin's Chocolate Milkshake","Milkshakes",child,4,32,43,100,73,34,C-,0,addedSugar,false,"amplified_exposure_category"
31,"Cavin's Chocolate Milkshake","Milkshakes",teen,4,50,43,100,73,40,C,0,addedSugar,false,"amplified_exposure_category"
31,"Cavin's Chocolate Milkshake","Milkshakes",adult,4,42,43,100,73,37,C-,0,addedSugar,false,"amplified_exposure_category"
31,"Cavin's Chocolate Milkshake","Milkshakes",elderly,4,43,43,100,73,38,C-,0,addedSugar,false,"amplified_exposure_category"
32,"Cavin's Spiced Buttermilk","Dairy Drinks",child,3,73,55,100,62,57,C+,0,sodium,false,""
32,"Cavin's Spiced Buttermilk","Dairy Drinks",teen,3,80,55,100,62,59,C+,0,sodium,false,""
32,"Cavin's Spiced Buttermilk","Dairy Drinks",adult,3,81,55,100,62,60,B,0,sodium,false,""
32,"Cavin's Spiced Buttermilk","Dairy Drinks",elderly,3,81,55,100,62,60,B,0,sodium,false,""
33,"Cavin's Vanilla Milkshake","Milkshakes",child,4,35,47,100,59,33,C-,0,addedSugar,false,"amplified_exposure_category"
33,"Cavin's Vanilla Milkshake","Milkshakes",teen,4,50,47,100,59,38,C-,0,addedSugar,false,"amplified_exposure_category"
33,"Cavin's Vanilla Milkshake","Milkshakes",adult,4,45,47,100,59,37,C-,0,addedSugar,false,"amplified_exposure_category"
33,"Cavin's Vanilla Milkshake","Milkshakes",elderly,4,46,47,100,59,37,C-,0,addedSugar,false,"amplified_exposure_category"
34,"Coca-Cola","Drinks",child,4,38,47,90,54,33,C-,0,addedSugar,false,"allergen_undeclared|amplified_exposure_category"
34,"Coca-Cola","Drinks",teen,4,50,47,90,54,37,C-,0,addedSugar,false,"allergen_undeclared|amplified_exposure_category"
34,"Coca-Cola","Drinks",adult,4,48,47,90,54,36,C-,0,addedSugar,false,"allergen_undeclared|amplified_exposure_category"
34,"Coca-Cola","Drinks",elderly,4,49,47,90,54,37,C-,0,addedSugar,false,"allergen_undeclared|amplified_exposure_category"
35,"Complan Royale Chocolate","Health Drinks",child,4,12,42,100,75,17,D,10,addedSugar,false,"amplified_exposure_category"
35,"Complan Royale Chocolate","Health Drinks",teen,4,26,42,100,75,32,C-,0,addedSugar,false,"amplified_exposure_category"
35,"Complan Royale Chocolate","Health Drinks",adult,4,17,42,100,75,29,D+,0,addedSugar,false,"amplified_exposure_category"
35,"Complan Royale Chocolate","Health Drinks",elderly,4,18,42,100,75,29,D+,0,addedSugar,false,"amplified_exposure_category"
36,"Dark Fantasy Chocolate Milkshake","Milkshakes",child,4,33,38,100,63,32,C-,0,addedSugar,false,"amplified_exposure_category"
36,"Dark Fantasy Chocolate Milkshake","Milkshakes",teen,4,50,38,100,63,38,C-,0,addedSugar,false,"amplified_exposure_category"
36,"Dark Fantasy Chocolate Milkshake","Milkshakes",adult,4,42,38,100,63,36,C-,0,addedSugar,false,"amplified_exposure_category"
36,"Dark Fantasy Chocolate Milkshake","Milkshakes",elderly,4,44,38,100,63,36,C-,0,addedSugar,false,"amplified_exposure_category"
37,"Diet Coke","Drinks",child,4,50,55,90,0,30,C-,0,sodium,false,"allergen_undeclared|amplified_exposure_category"
37,"Diet Coke","Drinks",teen,4,50,55,90,0,30,C-,0,sodium,false,"allergen_undeclared|amplified_exposure_category"
37,"Diet Coke","Drinks",adult,4,50,55,90,6,31,C-,0,sodium,false,"allergen_undeclared|amplified_exposure_category"
37,"Diet Coke","Drinks",elderly,4,50,55,90,3,30,C-,0,sodium,false,"allergen_undeclared|amplified_exposure_category"
38,"Diet Pepsi","Drinks",child,4,50,55,90,0,30,C-,0,sodium,false,"allergen_undeclared|amplified_exposure_category"
38,"Diet Pepsi","Drinks",teen,4,50,55,90,0,30,C-,0,sodium,false,"allergen_undeclared|amplified_exposure_category"
38,"Diet Pepsi","Drinks",adult,4,50,55,90,2,30,C-,0,sodium,false,"allergen_undeclared|amplified_exposure_category"
